"commune","year","precipitation","month"
"NATITINGOU_PEPORIYAKOU","2018","0","11"
"PARAKOU_AEROPORT","2018","0","11"
"SAVE","2018","14.6","11"
"BOHICON","2018","44.2","11"
"COTONOU_AEROPORT","2018","76.8","11"
"KANDI_AEROPORT","2018","0","12"
"NATITINGOU_PEPORIYAKOU","2018","0","12"
"PARAKOU_AEROPORT","2018","0","12"
"SAVE","2018","0","12"
"BOHICON","2018","0","12"
"COTONOU_AEROPORT","2018","7.6","12"
"KANDI_AEROPORT","2019","0","1"
"NATITINGOU_PEPORIYAKOU","2019","0","1"
"PARAKOU_AEROPORT","2019","79.4","1"
"SAVE","2019","5.5","1"
"BOHICON","2019","24.2","1"
"COTONOU_AEROPORT","2019","111.6","1"
"KANDI_AEROPORT","2019","0","2"
"NATITINGOU_PEPORIYAKOU","2019","0","2"
"PARAKOU_AEROPORT","2019","0.5","2"
"SAVE","2019","43.7","2"
"BOHICON","2019","23.7","2"
"COTONOU_AEROPORT","2019","116.7","2"
"KANDI_AEROPORT","2019","2.7","3"
"NATITINGOU_PEPORIYAKOU","2019","10.6","3"
"PARAKOU_AEROPORT","2019","39.4","3"
"SAVE","2019","63.3","3"
"BOHICON","2019","118.5","3"
"COTONOU_AEROPORT","2019","70.2","3"
"KANDI_AEROPORT","2019","18","4"
"NATITINGOU_PEPORIYAKOU","2019","34.9","4"
"PARAKOU_AEROPORT","2019","122.2","4"
"SAVE","2019","74.8","4"
"BOHICON","2019","103.2","4"
"COTONOU_AEROPORT","2019","88.7","4"
"KANDI_AEROPORT","2019","153.4","5"
"NATITINGOU_PEPORIYAKOU","2019","125.3","5"
"PARAKOU_AEROPORT","2019","118.8","5"
"SAVE","2019","231.7","5"
"BOHICON","2019","189.4","5"
"COTONOU_AEROPORT","2019","195.2","5"
"KANDI_AEROPORT","2019","103.9","6"
"NATITINGOU_PEPORIYAKOU","2019","98.1","6"
"PARAKOU_AEROPORT","2019","100.9","6"
"SAVE","2019","136.4","6"
"BOHICON","2019","143.5","6"
"COTONOU_AEROPORT","2019","160","6"
"KANDI_AEROPORT","2019","175.3","7"
"NATITINGOU_PEPORIYAKOU","2019","184.9","7"
"PARAKOU_AEROPORT","2019","265","7"
"SAVE","2019","167.8","7"
"BOHICON","2019","86.4","7"
"COTONOU_AEROPORT","2019","81.8","7"
"KANDI_AEROPORT","2019","234.4","8"
"NATITINGOU_PEPORIYAKOU","2019","213.8","8"
"PARAKOU_AEROPORT","2019","120.5","8"
"SAVE","2019","145.2","8"
"BOHICON","2019","42","8"
"COTONOU_AEROPORT","2019","17.8","8"
"KANDI_AEROPORT","2019","250.3","9"
"NATITINGOU_PEPORIYAKOU","2019","200.6","9"
"PARAKOU_AEROPORT","2019","206.2","9"
"SAVE","2019","184.6","9"
"BOHICON","2019","158.4","9"
"COTONOU_AEROPORT","2019","234.6","9"
"KANDI_AEROPORT","2019","104.5","10"
"NATITINGOU_PEPORIYAKOU","2019","140.2","10"
"PARAKOU_AEROPORT","2019","215.4","10"
"SAVE","2019","216","10"
"BOHICON","2019","203.8","10"
"COTONOU_AEROPORT","2019","398","10"
"KANDI_AEROPORT","2019","0","11"
"NATITINGOU_PEPORIYAKOU","2019","1.7","11"
"PARAKOU_AEROPORT","2019","0","11"
"SAVE","2019","38","11"
"BOHICON","2019","24.1","11"
"COTONOU_AEROPORT","2019","89.2","11"
"KANDI_AEROPORT","2019","0","12"
"NATITINGOU_PEPORIYAKOU","2019","0","12"
"PARAKOU_AEROPORT","2019","0","12"
"SAVE","2019","0","12"
"BOHICON","2019","11.5","12"
"COTONOU_AEROPORT","2019","0","12"
"KANDI_AEROPORT","2020","0","1"
"NATITINGOU_PEPORIYAKOU","2020","0","1"
"PARAKOU_AEROPORT","2020","0","1"
"SAVE","2020","1.1","1"
"BOHICON","2020","0","1"
"COTONOU_AEROPORT","2020","0","1"
"KANDI_AEROPORT","2020","0","2"
"NATITINGOU_PEPORIYAKOU","2020","0","2"
"PARAKOU_AEROPORT","2020","0","2"
"SAVE","2020","0","2"
"BOHICON","2020","0","2"
"COTONOU_AEROPORT","2020","0.2","2"
"KANDI_AEROPORT","2020","0","3"
"NATITINGOU_PEPORIYAKOU","2020","4.2","3"
"PARAKOU_AEROPORT","2020","52.2","3"
"SAVE","2020","35.8","3"
"BOHICON","2020","16.3","3"
"COTONOU_AEROPORT","2020","126.8","3"
"KANDI_AEROPORT","2020","66.1","4"
"NATITINGOU_PEPORIYAKOU","2020","48.5","4"
"PARAKOU_AEROPORT","2020","101","4"
"SAVE","2020","65","4"
"BOHICON","2020","81.5","4"
"COTONOU_AEROPORT","2020","136.8","4"
"KANDI_AEROPORT","2020","77.4","5"
"NATITINGOU_PEPORIYAKOU","2020","86.2","5"
"PARAKOU_AEROPORT","2020","124.6","5"
"SAVE","2020","163.3","5"
"BOHICON","2020","194.6","5"
"COTONOU_AEROPORT","2020","99.4","5"
"KANDI_AEROPORT","2020","133.7","6"
"NATITINGOU_PEPORIYAKOU","2020","147.8","6"
