"commune","year","tmin","month"
"NATITINGOU","2021","23.7","3"
"PARAKOU_AEROPORT","2021","24.1","3"
"SAVE","2021","24.4","3"
"BOHICON","2021","24.8","3"
"COTONOU_AEROPORT","2021","27.1","3"
"KANDI_AEROPORT","2021","26.9","4"
"NATITINGOU","2021","23.3","4"
"PARAKOU_AEROPORT","2021","23.6","4"
"SAVE","2021","23.6","4"
"BOHICON","2021","24.2","4"
"COTONOU_AEROPORT","2021","26.9","4"
"KANDI_AEROPORT","2021","26.7","5"
"NATITINGOU","2021","24","5"
"PARAKOU_AEROPORT","2021","24.4","5"
"SAVE","2021","23.4","5"
"BOHICON","2021","24.4","5"
"COTONOU_AEROPORT","2021","26.5","5"
"KANDI_AEROPORT","2021","24.1","6"
"NATITINGOU","2021","22.1","6"
"PARAKOU_AEROPORT","2021","21.8","6"
"SAVE","2021","22.6","6"
"BOHICON","2021","22.8","6"
"COTONOU_AEROPORT","2021","24.6","6"
"KANDI_AEROPORT","2021","23.1","7"
"NATITINGOU","2021","21.9","7"
"PARAKOU_AEROPORT","2021","21.7","7"
"SAVE","2021","22.4","7"
"BOHICON","2021","22.5","7"
"COTONOU_AEROPORT","2021","25.2","7"
"KANDI_AEROPORT","2021","22.7","8"
"NATITINGOU","2021","21.8","8"
"PARAKOU_AEROPORT","2021","21.8","8"
"SAVE","2021","22.6","8"
"BOHICON","2021","23","8"
"COTONOU_AEROPORT","2021","25","8"
"KANDI_AEROPORT","2021","22.5","9"
"NATITINGOU","2021","21.3","9"
"PARAKOU_AEROPORT","2021","21.5","9"
"SAVE","2021","22.4","9"
"BOHICON","2021","22.8","9"
"COTONOU_AEROPORT","2021","24.5","9"
"KANDI_AEROPORT","2021","23.7","10"
"NATITINGOU","2021","21.6","10"
"PARAKOU_AEROPORT","2021","22.2","10"
"SAVE","2021","23","10"
"BOHICON","2021","23.3","10"
"COTONOU_AEROPORT","2021","25.2","10"
"KANDI_AEROPORT","2021","21.2","11"
"NATITINGOU","2021","18.9","11"
"PARAKOU_AEROPORT","2021","22.3","11"
"SAVE","2021","23.6","11"
"BOHICON","2021","23.4","11"
"COTONOU_AEROPORT","2021","25.6","11"
"KANDI_AEROPORT","2021","17.6","12"
"NATITINGOU","2021","15.1","12"
"PARAKOU_AEROPORT","2021","20","12"
"SAVE","2021","22.1","12"
"BOHICON","2021","23.5","12"
"COTONOU_AEROPORT","2021","25.3","12"
"KANDI_AEROPORT","2022","17.4","1"
"NATITINGOU","2022","15.4","1"
"PARAKOU_AEROPORT","2022","19.5","1"
"SAVE","2022","21.1","1"
"BOHICON","2022","22.8","1"
"COTONOU_AEROPORT","2022","24.2","1"
"KANDI_AEROPORT","2022","19.9","2"
"NATITINGOU","2022","18","2"
"PARAKOU_AEROPORT","2022","21.9","2"
"SAVE","2022","23.8","2"
"BOHICON","2022","24.2","2"
"COTONOU_AEROPORT","2022","26.1","2"
"KANDI_AEROPORT","2022","25.9","3"
"NATITINGOU","2022","23.3","3"
"PARAKOU_AEROPORT","2022","24.2","3"
"SAVE","2022","24.8","3"
"BOHICON","2022","24.9","3"
"COTONOU_AEROPORT","2022","27.5","3"
"KANDI_AEROPORT","2022","27","4"
"NATITINGOU","2022","23.9","4"
"PARAKOU_AEROPORT","2022","23.3","4"
"SAVE","2022","23.2","4"
"BOHICON","2022","23.7","4"
"COTONOU_AEROPORT","2022","25.2","4"
"KANDI_AEROPORT","2022","25.9","5"
"NATITINGOU","2022","23","5"
"PARAKOU_AEROPORT","2022","22.8","5"
"SAVE","2022","23.5","5"
"BOHICON","2022","23.8","5"
